ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-23395N|refseq:NP_730184	DIP-27953N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46759E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27953N	DIP-19512N|refseq:NP_524016	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46761E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-21297N|refseq:NP_724056|uniprotkb:P16568	DIP-20694N|refseq:NP_477172	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46814E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22786N|refseq:NP_609020	DIP-18362N|refseq:NP_523717	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46816E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19890N|refseq:NP_523896	DIP-23992N|refseq:NP_651973	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46824E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19890N|refseq:NP_523896	DIP-21021N|refseq:NP_476661	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46675E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17429N|refseq:NP_477118|uniprotkb:P17886	DIP-27953N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46754E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19890N|refseq:NP_523896	DIP-27994N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46867E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18640N|refseq:NP_608965	DIP-19213N|refseq:NP_731291	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46905E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20694N|refseq:NP_477172	DIP-19295N|refseq:NP_573095	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46809E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22904N|refseq:NP_648223|uniprotkb:Q23973	DIP-18462N|refseq:NP_524179|uniprotkb:P52304	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18052611|pubmed:DIP-4608S|pubmed:15710747|pubmed:DIP-4167S|pubmed:18052611|pubmed:DIP-4608S|pubmed:18052611|pubmed:DIP-4608S|pubmed:18052611|pubmed:DIP-4608S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-47009E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-19733N|refseq:NP_732361	DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47069E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27912N	DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47061E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17228N|refseq:NP_730099	DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47062E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	DIP-27715N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47079E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23416N|refseq:NP_722914	DIP-28047N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47147E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5N|refseq:NP_476859|uniprotkb:P07207	DIP-23015N|refseq:NP_524697	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47017E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23238N|refseq:NP_610443	DIP-121N|refseq:NP_524617|uniprotkb:P19538	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-47120E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22799N|refseq:NP_524095|uniprotkb:Q24139	DIP-29040N|uniprotkb:Q9VVI3	 -	-	-	-	MI:0051(fluorescence technology)|MI:0077(nuclear magnetic resonance)|MI:0051(fluorescence technology)	-	pubmed:16531238|pubmed:DIP-4385S|pubmed:16531238|pubmed:DIP-4385S|pubmed:16531238|pubmed:DIP-4385S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57041E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29021N|uniprotkb:P68135	DIP-29041N|refseq:NP_726909|uniprotkb:Q8IRS7	 -	-	-	-	MI:0047(far western blotting)	-	pubmed:16531231|pubmed:DIP-4386S	taxid:9986(Oryctolagus cuniculus)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57045E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29101N|uniprotkb:Q27934	DIP-29100N|uniprotkb:P61092	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0096(pull down)	-	pubmed:16615911|pubmed:DIP-4417S|pubmed:16615911|pubmed:DIP-4417S	taxid:7227(Drosophila melanogaster)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57113E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29174N|refseq:NP_524235|uniprotkb:Q9VNB5	DIP-29174N|refseq:NP_524235|uniprotkb:Q9VNB5	-	-	-	-	MI:0809(bimolecular fluorescence complementation)	-	pubmed:16402857|pubmed:DIP-4465S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57181E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29174N|refseq:NP_524235|uniprotkb:Q9VNB5	DIP-29175N|refseq:NP_523647|uniprotkb:P81917	 -	-	-	-	MI:0809(bimolecular fluorescence complementation)|MI:0018(two hybrid)	-	pubmed:16402857|pubmed:DIP-4465S|pubmed:16402857|pubmed:DIP-4465S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57182E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29175N|refseq:NP_523647|uniprotkb:P81917	DIP-29175N|refseq:NP_523647|uniprotkb:P81917	-	-	-	-	MI:0809(bimolecular fluorescence complementation)	-	pubmed:16402857|pubmed:DIP-4465S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-57183E	dip-quality-status:core	dip:0002(small scale)		-
DIP-20484N|refseq:NP_523453|uniprotkb:P81909	DIP-29174N|refseq:NP_524235|uniprotkb:Q9VNB5	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:16402857|pubmed:DIP-4465S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57184E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29198N|uniprotkb:Q7PLI2	DIP-29197N|refseq:NP_650428|uniprotkb:Q9VFC0	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:16802858|pubmed:DIP-4474S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-57212E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29329N	DIP-29330N|uniprotkb:Q9VMJ7	 -	-	-	-	MI:0415(enzymatic study)	-	pubmed:17351631|pubmed:DIP-4530S	taxid:-2(chemical synthesis)	taxid:7227(Drosophila melanogaster)	MI:0414(enzymatic reaction)	MI:0465(dip)	DIP-57387E	dip-quality-status:core	dip:0002(small scale)		-
DIP-19302N|refseq:NP_524596|uniprotkb:P18102	DIP-29418N|uniprotkb:Q9N693	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:17503969|pubmed:DIP-4556S|pubmed:17503969|pubmed:DIP-4556S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-58787E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29418N|uniprotkb:Q9N693	DIP-29421N|refseq:NP_659574|uniprotkb:Q8IQA6	 -	-	-	-	MI:0096(pull down)	-	pubmed:17503969|pubmed:DIP-4556S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-58788E	dip-quality-status:core	dip:0002(small scale)		-
DIP-19302N|refseq:NP_524596|uniprotkb:P18102	DIP-29421N|refseq:NP_659574|uniprotkb:Q8IQA6	 -	-	-	-	MI:0096(pull down)	-	pubmed:17503969|pubmed:DIP-4556S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-58789E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29424N|refseq:NP_732407|uniprotkb:O77059	DIP-29425N|uniprotkb:P49021	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17535111|pubmed:DIP-4557S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-58873E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29426N|uniprotkb:P07663	DIP-29424N|refseq:NP_732407|uniprotkb:O77059	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17535111|pubmed:DIP-4557S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-58874E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29504N|uniprotkb:P84051	DIP-29506N|refseq:NP_523730|uniprotkb:Q9V6Q2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17676993|pubmed:DIP-4587S|pubmed:17676993|pubmed:DIP-4587S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-58934E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29548N|refseq:NP_649995|uniprotkb:Q9VH01	DIP-29551N|uniprotkb:Q6GKZ1	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17880263|pubmed:DIP-4615S|pubmed:17880263|pubmed:DIP-4615S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-58962E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29550N|refseq:NP_731877|uniprotkb:Q9VFP2	DIP-29549N|refseq:NP_523573|uniprotkb:Q9V475	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:17880263|pubmed:DIP-4615S|pubmed:17880263|pubmed:DIP-4615S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-58963E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29552N|refseq:NP_609616|uniprotkb:Q9VK21	DIP-29549N|refseq:NP_523573|uniprotkb:Q9V475	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:17880263|pubmed:DIP-4615S|pubmed:17880263|pubmed:DIP-4615S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-58964E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29551N|uniprotkb:Q6GKZ1	DIP-29549N|refseq:NP_523573|uniprotkb:Q9V475	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:17880263|pubmed:DIP-4615S|pubmed:17880263|pubmed:DIP-4615S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-58965E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-22804N|refseq:NP_478141|uniprotkb:P02283	DIP-29506N|refseq:NP_523730|uniprotkb:Q9V6Q2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17676993|pubmed:DIP-4587S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-59048E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29505N|uniprotkb:P84040	DIP-29506N|refseq:NP_523730|uniprotkb:Q9V6Q2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0676(tandem affinity purification)	-	pubmed:17676993|pubmed:DIP-4587S|pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59049E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-18982N|refseq:NP_476586|uniprotkb:P18289	DIP-29510N|uniprotkb:Q24151	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S|pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59050E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-18982N|refseq:NP_476586|uniprotkb:P18289	DIP-29511N|uniprotkb:Q24537	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S|pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59051E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29512N|refseq:NP_647918|uniprotkb:Q94517	DIP-18982N|refseq:NP_476586|uniprotkb:P18289	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-59052E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29511N|uniprotkb:Q24537	DIP-29510N|uniprotkb:Q24151	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S|pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59053E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29510N|uniprotkb:Q24151	DIP-29512N|refseq:NP_647918|uniprotkb:Q94517	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-59054E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29512N|refseq:NP_647918|uniprotkb:Q94517	DIP-29511N|uniprotkb:Q24537	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17803358|pubmed:DIP-4592S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-59055E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29656N|refseq:NP_648166|uniprotkb:Q8IQ92	DIP-21869N|uniprotkb:P05205	 -	-	-	-	MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18162556|pubmed:DIP-4668S|pubmed:18162556|pubmed:DIP-4668S|pubmed:18162556|pubmed:DIP-4668S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59143E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29672N|refseq:NP_524634|uniprotkb:Q9V496	DIP-634N|uniprotkb:P18502	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18198278|pubmed:DIP-4679S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0914(association)	MI:0465(dip)	DIP-59157E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29736N|uniprotkb:Q8WXI2	DIP-29737N|refseq:NP_725413|uniprotkb:Q8ML92	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0107(surface plasmon resonance)|MI:0096(pull down)|MI:0071(molecular sieving)|MI:0096(pull down)	-	pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59203E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29737N|refseq:NP_725413|uniprotkb:Q8ML92	DIP-29738N|refseq:NP_725671|uniprotkb:Q7KNQ9	 -	-	-	-	MI:0096(pull down)	-	pubmed:18287031|pubmed:DIP-4713S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-59204E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29769N|uniprotkb:P11346	DIP-17438N|refseq:NP_524934|uniprotkb:P00528	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0424(protein kinase assay)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18494562|pubmed:DIP-4726S|pubmed:18494562|pubmed:DIP-4726S|pubmed:18494562|pubmed:DIP-4726S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-59254E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
